long,lat,id,group,Cod.Dep,Departamento,Tipo,F,M,Casos,rango
-76.95416967,8.18533908,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.95416967,8.18533908,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.95416967,8.18533908,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.9347334,8.18883859,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.9347334,8.18883859,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.9347334,8.18883859,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.94369578,8.21062518,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.94369578,8.21062518,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.94369578,8.21062518,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.91025081,8.19080594,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.91025081,8.19080594,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.91025081,8.19080594,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.92693687,8.1898587,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.92693687,8.1898587,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.92693687,8.1898587,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.9094493,8.1776174,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.9094493,8.1776174,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.9094493,8.1776174,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.93168175,8.17363591,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.93168175,8.17363591,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.93168175,8.17363591,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.93245041,8.15847197,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.93245041,8.15847197,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.93245041,8.15847197,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.94323954,8.16665167,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.94323954,8.16665167,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.94323954,8.16665167,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.95033639,8.1447647,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.95033639,8.1447647,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.95033639,8.1447647,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.93186904,8.09152918,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.93186904,8.09152918,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.93186904,8.09152918,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.88862995,8.11437974,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.88862995,8.11437974,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.88862995,8.11437974,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.89356207,8.13230287,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.89356207,8.13230287,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.89356207,8.13230287,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.81270599,8.13165855,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.81270599,8.13165855,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.81270599,8.13165855,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.85405158,8.11997984,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.85405158,8.11997984,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.85405158,8.11997984,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.85466801,8.09126909,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.85466801,8.09126909,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.85466801,8.09126909,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.8215724,8.09437531,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.8215724,8.09437531,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.8215724,8.09437531,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.87315522,8.06806068,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.87315522,8.06806068,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.87315522,8.06806068,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.82997044,8.05038673,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.82997044,8.05038673,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.82997044,8.05038673,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.87163785,8.05317289,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.87163785,8.05317289,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.87163785,8.05317289,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.83418912,8.0198273,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.83418912,8.0198273,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.83418912,8.0198273,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.87451001,8.02135631,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.87451001,8.02135631,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.87451001,8.02135631,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.8904792,8.04547365,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.8904792,8.04547365,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.8904792,8.04547365,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.92482717,8.02464357,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.92482717,8.02464357,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.92482717,8.02464357,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.92224799,7.91759394,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.92224799,7.91759394,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
-76.92224799,7.91759394,0,0.1,5,Antioquia,Fallecido,1046,1655,2701,2000 - 3000
-76.86248646,7.90055946,0,0.1,5,Antioquia,Activo,8792,8382,17174,16000 - 18000
-76.86248646,7.90055946,0,0.1,5,Antioquia,Recuperado,56817,57650,114467,1e+05 - 120000
